cell_id,lat,lon
49.5000_-83.0000,49.5,-83.0
49.5000_-83.5000,49.5,-83.5
49.5000_-84.0000,49.5,-84.0
49.5000_-84.5000,49.5,-84.5
49.5000_-85.0000,49.5,-85.0
49.5000_-85.5000,49.5,-85.5
49.5000_-86.0000,49.5,-86.0
49.5000_-86.5000,49.5,-86.5
49.5000_-87.0000,49.5,-87.0
49.5000_-87.5000,49.5,-87.5
49.5000_-88.0000,49.5,-88.0
49.5000_-88.5000,49.5,-88.5
49.5000_-89.0000,49.5,-89.0
49.5000_-89.5000,49.5,-89.5
49.5000_-90.0000,49.5,-90.0
