lat,lon,in_canada,historical_fire,hist_fire_any_prior,hist_fire_count_prior_20y_log1p,years_since_last_fire
42.0,-53.0,False,0,0,0.0,0.0
42.0,-52.5,False,0,0,0.0,0.0
42.5,-141.0,False,0,0,0.0,0.0
42.5,-140.5,False,0,0,0.0,0.0
42.5,-140.0,False,0,0,0.0,0.0
42.5,-139.5,False,0,0,0.0,0.0
42.5,-139.0,False,0,0,0.0,0.0
42.5,-138.5,False,0,0,0.0,0.0
42.5,-138.0,False,0,0,0.0,0.0
42.5,-137.5,False,0,0,0.0,0.0
42.5,-137.0,False,0,0,0.0,0.0
42.5,-136.5,False,0,0,0.0,0.0
42.5,-136.0,False,0,0,0.0,0.0
42.5,-135.5,False,0,0,0.0,0.0
42.5,-135.0,False,0,0,0.0,0.0
42.5,-134.5,False,0,0,0.0,0.0
42.5,-134.0,False,0,0,0.0,0.0
42.5,-133.5,False,0,0,0.0,0.0
42.5,-133.0,False,0,0,0.0,0.0
42.5,-132.5,False,0,0,0.0,0.0
42.5,-132.0,False,0,0,0.0,0.0
42.5,-131.5,False,0,0,0.0,0.0
42.5,-131.0,False,0,0,0.0,0.0
42.5,-130.5,False,0,0,0.0,0.0
42.5,-130.0,False,0,0,0.0,0.0
42.5,-129.5,False,0,0,0.0,0.0
42.5,-129.0,False,0,0,0.0,0.0
42.5,-128.5,False,0,0,0.0,0.0
42.5,-128.0,False,0,0,0.0,0.0
42.5,-127.5,False,0,0,0.0,0.0
42.5,-127.0,False,0,0,0.0,0.0
42.5,-126.5,False,0,0,0.0,0.0
42.5,-126.0,False,0,0,0.0,0.0
42.5,-125.5,False,0,0,0.0,0.0
42.5,-125.0,False,0,0,0.0,0.0
42.5,-124.5,False,0,0,0.0,0.0
42.5,-124.0,False,0,0,0.0,0.0
42.5,-123.5,False,0,0,0.0,0.0
42.5,-123.0,False,0,0,0.0,0.0
42.5,-122.5,False,0,0,0.0,0.0
42.5,-122.0,False,0,0,0.0,0.0
42.5,-121.5,False,0,0,0.0,0.0
42.5,-121.0,False,0,0,0.0,0.0
42.5,-120.5,False,0,0,0.0,0.0
42.5,-120.0,False,0,0,0.0,0.0
42.5,-119.5,False,0,0,0.0,0.0
42.5,-119.0,False,0,0,0.0,0.0
